"SSID","Filename","Creator[8101]","Culture","Title[8103]","Image View Description[8104]","Image View Type[8105]","Date[8106]","Earliest Date[8107]","Latest Date[8108]","Style/Period[8109]","Materials/Techniques[8110]","Measurements[8111]","Artstor Classification[8112]","Work Type[8113]","Repository[8114]","Accession Number[8115]","Location[3200]","Creation/Discovery Site[8117]","Latitude[8118]","Longitude[8119]","Elevation[8120]","Country[8121]","Description[8122]","Subject[8123]","Relationships[8124]","Image Source[8125]","Photographer[8126]","Image Date[8127]","Local Record ID[8128]","Rights[8129]","Historic Site Name[8137]","Notes[8138]","Faculty requestor[8139]"
791018,"i07-09498.tif","Tábara, Enrique (Ecuadorian painter, born 1930)","Ecuadorian","Rojo supersustancial (Over-substantial Red)",,,1971,1971,1971,,"oil on canvas","152 x 152 cm","Paintings","Painting","Private collection",,,,,,,"Ecuador",,,,"E. Sullivan, ed., ""Latin American Art in the Twentieth Century,"" p. 185, fig. 184",,,"i07-09498",,,,"E. Sullivan, spring 2007"
791011,"i07-09491.tif","González, Beatriz (Colombian painter, sculptor, and decorative artist, born 1938)","Colombian","El Altar (The Altar)",,,1990,1990,1990,,"oil on canvas","170 x 150 cm","Paintings","Painting","Collection of the artist",,,,,,,"Colombia",,,,"E. Sullivan, ed., ""Latin American Art in the Twentieth Century,"" p. 172, fig. 172",,,"i07-09491",,,,"E. Sullivan, spring 2007"
746207,"i12-07650.tif",,"Roman","Romano-British living room",,,"1c - early 5c AD",1,450,,,,"Architecture and City Planning|Sculpture and Installations|Decorative Arts, Utilitarian Objects and Interior Design",,"Museum of London, London, England, United Kingdom",,,,,,,"United Kingdom","Museum reconstruction of a living room in a typical town house or villa in Roman Britain. View of wall paintings, couch, basketry chair, small tables, and ceramics. Provincial - Britannia.",,,"Branigan, ""Roman Britain: Life in an Imperial Province,"" 1980, p. 156.",,,"i12-07650",,,"Rome North of the Alps","G. Kopcke, fall 2012, FINH-GA 2024-001"
746200,"i12-07643.tif",,"Roman","York (Eboracum) - fresco",,,"4c AD",300,399,,"fresco",,"Decorative Arts, Utilitarian Objects and Interior Design|Paintings","Wall painting","York Minster Foundations, York, England, United Kingdom",,,"York, England, United Kingdom",,,,"United Kingdom","Fragments from a room added in the 4c AD to the northwest side of the basilica of the fortress principia. Now on display near its find spot in York Minster Foundations. Provincial - Britannia Inferior.",,,"Ottaway, ""Book of Roman York,"" 1993, pl. 7.",,,"i12-07643",,"Eboracum; Eoforwic; Jorvik","Rome North of the Alps. Late Antique.","G. Kopcke, fall 2012, FINH-GA 2024-001"
616019,"i12-02654.tif","Benois, Alexandre (Russian painter, 1870-1960)",,"Moor with a Sword, study for Petrushka",,,1947,,,,"watercolor, black ink, gold paint and pencil",,,"Painting","Collection of Nina and Nikita D. Lobanov-Rostovsky",,,,,,,,,,,"Bowlt, ""Theater of Reason/Theater of Desire, the Art of Alexandre Benois and Leon Bakst,"" p. 79.",,,"i12-02654",,,"Ballets Russes",
616110,"i12-02745.tif",,"Greek, Classical","Oinochoe in the shape of a head",,,"late 5c BC",,,,"ceramic",,,"Vase painting",,,"Athens, Attica, Greece",,,,,,"Plastic oinochoe (wine jug) in the shape of a woman's head. From a well near the Panathenaic Way in Athens. Agora excavation inventory number P 23822.",,,"""Hesperia"" 24 (1955), pl. 31b.",,,"i12-02745",,,"G. Kopcke, fall 2011.",
616108,"i12-02743.tif",,"Greek, Classical","Black-glaze vases",,,"5-4c BC",,,,"ceramic (Attic black glaze)",,,"Vase painting",,,,,,,,,"Comparative profiles of Attic black-glaze vases",,,"""Hesperia"" 24 (1955), p. 184, fig. 3.",,,"i12-02743",,,"G. Kopcke, fall 2011.",
746228,"i12-07671.tif",,"Roman","Lullingstone - Christian wall painting",,,"4c AD",300,399,,,,"Architecture and City Planning|Decorative Arts, Utilitarian Objects and Interior Design|Paintings","Wall painting",,,,"Lullingstone Roman Villa, Kent, England, United Kingdom",,,,"United Kingdom","Depicting an Early Christian worshiper. From the Roman villa at Lullingstone, Kent, England. Provincial - Britannia.",,,"McCloy and Midgley, ""Exploring Roman Britain,"" 2006, p. 119.",,,"i12-07671",,,"Rome North of the Alps. Early Christian. Late Antique.","G. Kopcke, fall 2012, FINH-GA 2024-001"
616818,"i12-03031.tif","Velázquez, Diego (Spanish painter, 1599-1660)","Spanish","Las Meninas",,,"ca. 1656",,,,"oil on canvas",,,"Painting","Museo del Prado, Madrid, Spain","P01174",,,,,,,"detail, view of the menina Isabel de Velasco",,,"Serraller, ""Las Meninas de Velázquez,"" 1995, p. 87.",,,"i12-03031",,,,
616731,"i12-02976.tif",,"Greek, Hellenistic","Volos Museum Stele #17",,,"Hellenistic",,,,,,,"Painting","Volos Museum, Volos, Greece",17,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. Film processed Aug. 1960.",,,"i12-02976","Copyright: IFA/NYU","Demetrias, Greece",,
